tau_main,age_main,tau_burst,f_burst,age_burst,E_BV_lines,sfr_A,normalise,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,zgas,ne,f_esc,f_dust,lines_width,emission,redshift,filters
2744.3082061080854,1251.012525485843,4067.9125513526023,0.06400103693785228,32.734175171177625,0.9633070489367428,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2645.1298540062803,5745.153903122955,7118.671706129333,0.10950072122667018,74.53400780223839,0.9119313527670756,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1647.47558604877,8137.715531631583,5528.458989998617,0.12702750096949966,15.479418014064919,0.20045280911725638,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1774.745419615787,9704.514171025896,2605.663456012413,0.005034383628631484,81.35549619730763,0.005348055369132743,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2943.6688025731255,1006.779596599923,100.14175598934526,0.11681345450819772,96.24036675555882,0.0005459098185149891,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1548.0122127172142,6119.015946777579,7033.972352629689,0.10573345089971287,99.95451146245509,1.4851678954365153,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2993.46412129174,7524.255114331025,4490.443766833756,0.041118107269682735,13.789851796262283,1.5701101857998696,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1808.7075190917662,4229.050171854498,4590.697506383168,0.011297387721744462,99.83391191816368,0.10911739998999459,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2586.382606969479,1508.0388860720977,2485.9143547407784,3.028907928082081e-07,98.24176536611039,0.9839588141279036,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2962.7779018686506,6317.7558388301895,8182.429111060358,0.0013301913787919784,15.994548856808706,1.0388749956536976,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2984.966667634921,1546.3605611178082,7769.03444460685,0.013042826498208038,75.53739990182584,1.9081128891490755,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1554.3083121977388,1000.547142413905,8068.227130174598,0.12015654751874338,71.07110222332629,0.12873333587779046,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2098.000246009393,1000.112834933605,5460.99991528622,0.16662290751167796,99.96335574519817,1.2557180780001866,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2740.0522045525254,1000.5522630331652,7586.901285644744,0.042153717887843334,85.44217577567287,0.0027159967603964663,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1500.358296925114,6168.018966578489,7432.9267623999,0.0026102402288827042,47.085728292975304,3.497200623980845e-05,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2173.872588575587,5105.698950736996,1191.336032828358,0.0019466442452591992,38.97443673685266,0.06899628329856533,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1751.3965203343716,1026.1997925795022,146.65933572176982,0.012362285474475987,90.46334796495353,0.23250329214394871,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
