tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters,weights,MAP
2999.935240429978,1004.592539663603,3272.257930354819,0.011673208798618218,99.96945155314782,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,8.363712434604797e-12,0.0
2965.629402099926,2542.016923474808,2354.7821383428,0.18245372101154222,39.6171127172465,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.6674936025852232e-102,0.0
2996.261277551032,3196.7965857904,1993.5255229223212,0.07522207992292587,34.79678121407005,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.1168686228999546e-102,0.0
2997.2611227587586,9613.376469902982,119.8172859942697,0.09997901769704842,97.60307792774934,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.60705784294101e-87,0.0
1563.012279103096,2143.9620873238437,133.558296132569,0.13533179119069277,10.151081328765159,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.3258891592844028e-55,0.0
1528.0405393293402,3749.643202588376,193.50527935842,0.05874726225972443,13.729802307717677,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.5439954110169005e-115,0.0
2993.5985356678375,1149.9811778356998,161.8009008046556,0.19997071544612974,99.67440983594736,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.0030307944395858e-67,0.0
2999.994680405684,3862.338494101562,379.3253557468033,0.004267908856390112,72.48504583104652,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.4802820761459506e-86,0.0
1546.9508525150966,9338.971884617486,9889.684844919339,0.1498119092950118,53.96354334193265,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.8279975331349634e-19,0.0
2767.58503808173,9962.81266135456,3117.9348743595547,0.19954135459464792,37.026407159113376,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.2727868441200498e-104,0.0
